Time,Pnl,UnrealizedPnl,RealizedPnl
1606275960,0,0,0 
1606276020,0,0,0 
1606276080,0,0,0 
1606276140,0,0,0 
1606276200,0,0,0 
1606276260,0,0,0 
1606276320,0,0,0 
1606276380,0,0,0 
1606276440,0,0,0 
1606276500,0,0,0 
1606276560,0,0,0 
1606276620,0,0,0 
1606276680,0,0,0 
1606276740,0,0,0 
1606276800,0,0,0 
1606276860,0,0,0 
1606276920,0,0,0 
1606276980,0,0,0 
1606277040,0,0,0 
1606277100,0,0,0 
1606277160,0,0,0 
1606277220,0,0,0 
1606277280,0,0,0 
1606277340,0,0,0 
1606277400,0,0,0 
1606277460,0,0,0 
1606277520,0,0,0 
1606277580,0,0,0 
1606277640,0,0,0 
1606277700,0,0,0 
1606277760,0,0,0 
1606277820,0,0,0 
1606277880,0,0,0 
1606277940,0,0,0 
1606278000,0,0,0 
1606278060,0,0,0 
1606278120,0,0,0 
1606278180,0,0,0 
1606278240,0,0,0 
1606278300,0,0,0 
1606278360,0,0,0 
1606278420,0,0,0 
1606278480,0,0,0 
1606278540,0,0,0 
1606278600,0,0,0 
1606278660,0,0,0 
1606278720,0,0,0 
1606278780,0,0,0 
1606278840,0,0,0 
1606278900,0,0,0 
1606278960,0,0,0 
1606279020,0,0,0 
1606279080,0,0,0 
1606279140,0,0,0 
1606279200,0,0,0 
1606279260,0,0,0 
1606279320,0,0,0 
1606279380,0,0,0 
1606279440,0,0,0 
1606279500,0,0,0 
1606279560,0,0,0 
1606279620,0,0,0 
1606279680,0,0,0 
1606279740,0,0,0 
1606279800,0,0,0 
1606279860,0,0,0 
1606279920,0,0,0 
1606279980,0,0,0 
1606280040,0,0,0 
1606280100,0,0,0 
1606280160,0,0,0 
1606280220,0,0,0 
1606280280,0,0,0 
1606280340,0,0,0 
1606280400,0,0,0 
1606280460,0,0,0 
1606280520,0,0,0 
1606280580,0,0,0 
1606280640,0,0,0 
1606280700,0,0,0 
1606280760,0,0,0 
1606280820,0,0,0 
1606280880,0,0,0 
1606280940,0,0,0 
1606281000,0,0,0 
1606281060,0,0,0 
1606281120,0,0,0 
1606281180,0,0,0 
1606281240,0,0,0 
1606281300,0,0,0 
1606281360,0,0,0 
1606281420,0,0,0 
1606281480,0,0,0 
1606281540,0,0,0 
1606281600,0,0,0 
1606281660,0,0,0 
1606281720,0,0,0 
1606281780,0,0,0 
1606281840,0,0,0 
1606281900,0,0,0 
