Time,Pnl,UnrealizedPnl,RealizedPnl
1609386360,0,0,0 
1609386420,0,0,0 
1609386480,0,0,0 
1609386540,0,0,0 
1609386600,0,0,0 
1609386660,0,0,0 
1609386720,0,0,0 
1609386780,0,0,0 
1609386840,0,0,0 
1609386900,0,0,0 
1609386960,0,0,0 
1609387020,0,0,0 
1609387080,0,0,0 
1609387140,0,0,0 
1609387200,0,0,0 
1609387260,0,0,0 
1609387320,0,0,0 
1609387380,0,0,0 
1609387440,0,0,0 
1609387500,0,0,0 
1609387560,0,0,0 
1609387620,0,0,0 
1609387680,0,0,0 
1609387740,0,0,0 
1609387800,0,0,0 
1609387860,0,0,0 
1609387920,0,0,0 
1609387980,0,0,0 
1609388040,0,0,0 
1609388100,0,0,0 
1609388160,0,0,0 
1609388220,0,0,0 
1609388280,0,0,0 
1609388340,0,0,0 
1609388400,0,0,0 
1609388460,0,0,0 
1609388520,0,0,0 
1609388580,0,0,0 
1609388640,0,0,0 
1609388700,0,0,0 
1609388760,0,0,0 
1609388820,0,0,0 
1609388880,0,0,0 
1609388940,0,0,0 
1609389000,0,0,0 
1609389060,0,0,0 
1609389120,0,0,0 
1609389180,0,0,0 
1609389240,0,0,0 
1609389300,0,0,0 
1609389360,0,0,0 
1609389420,100.0,100.0,0 
1609389480,344.99999999999955,344.99999999999955,0 
1609389540,-68.75,-68.75,0 
1609389600,-383.75000000000057,0,-383.75000000000057 
1609389660,-383.75000000000057,0,-383.75000000000057 
1609389720,-383.75000000000057,0,-383.75000000000057 
1609389780,-383.75000000000057,0,-383.75000000000057 
1609389840,-383.75000000000057,0,-383.75000000000057 
1609389900,-383.75000000000057,0,-383.75000000000057 
1609389960,-383.75000000000057,0,-383.75000000000057 
1609390020,-292.50000000000114,91.24999999999943,-383.75000000000057 
1609390080,-340.00000000000057,43.75,-383.75000000000057 
1609390140,-537.5000000000007,-153.75000000000014,-383.75000000000057 
1609390200,-401.250000000001,-17.500000000000426,-383.75000000000057 
1609390260,-431.2500000000007,-47.50000000000014,-383.75000000000057 
1609390320,-347.50000000000085,36.249999999999716,-383.75000000000057 
1609390380,-412.5000000000007,-28.750000000000142,-383.75000000000057 
1609390440,-372.50000000000085,11.249999999999716,-383.75000000000057 
1609390500,-312.5000000000007,71.24999999999986,-383.75000000000057 
1609390560,-271.25000000000057,112.5,-383.75000000000057 
1609390620,-406.2500000000007,-22.500000000000142,-383.75000000000057 
1609390680,-322.50000000000085,61.249999999999716,-383.75000000000057 
1609390740,-321.25000000000057,62.5,-383.75000000000057 
1609390800,-515.0000000000006,-131.25,-383.75000000000057 
1609390860,-462.5000000000007,-78.75000000000014,-383.75000000000057 
1609390920,-647.5000000000009,0,-647.5000000000009 
1609390980,-647.5000000000009,0,-647.5000000000009 
1609391040,-647.5000000000009,0,-647.5000000000009 
1609391100,-647.5000000000009,0,-647.5000000000009 
1609391160,-647.5000000000009,0,-647.5000000000009 
1609391220,-647.5000000000009,0,-647.5000000000009 
1609391280,-647.5000000000009,0,-647.5000000000009 
1609391340,-647.5000000000009,0,-647.5000000000009 
1609391400,-647.5000000000009,0,-647.5000000000009 
1609391460,-647.5000000000009,0,-647.5000000000009 
1609391520,-647.5000000000009,0,-647.5000000000009 
1609391580,-647.5000000000009,0,-647.5000000000009 
1609391640,-647.5000000000009,0,-647.5000000000009 
1609391700,-647.5000000000009,0,-647.5000000000009 
1609391760,-647.5000000000009,0,-647.5000000000009 
1609391820,-647.5000000000009,0,-647.5000000000009 
1609391880,-647.5000000000009,0,-647.5000000000009 
1609391940,-647.5000000000009,0,-647.5000000000009 
1609392000,-647.5000000000009,0,-647.5000000000009 
1609392060,-647.5000000000009,0,-647.5000000000009 
1609392120,-647.5000000000009,0,-647.5000000000009 
1609392180,-647.5000000000009,0,-647.5000000000009 
1609392240,-647.5000000000009,0,-647.5000000000009 
1609392300,624.9999999999993,1272.5000000000002,-647.5000000000009 
1609392360,287.4999999999992,935.0000000000001,-647.5000000000009 
1609392420,77.49999999999909,725.0,-647.5000000000009 
1609392480,426.24999999999886,1073.7499999999998,-647.5000000000009 
1609392540,203.74999999999864,851.2499999999995,-647.5000000000009 
1609392600,254.99999999999898,902.4999999999999,-647.5000000000009 
1609392660,226.24999999999886,873.7499999999998,-647.5000000000009 
1609392720,284.99999999999864,932.4999999999995,-647.5000000000009 
1609392780,387.4999999999993,1035.0000000000002,-647.5000000000009 
1609392840,453.74999999999864,1101.2499999999995,-647.5000000000009 
1609392900,379.99999999999886,1027.4999999999998,-647.5000000000009 
1609392960,291.24999999999864,938.7499999999995,-647.5000000000009 
1609393020,107.49999999999886,754.9999999999998,-647.5000000000009 
1609393080,198.74999999999898,846.2499999999999,-647.5000000000009 
1609393140,317.499999999999,964.9999999999999,-647.5000000000009 
1609393200,352.4999999999991,1000.0,-647.5000000000009 
1609393260,397.49999999999864,1044.9999999999995,-647.5000000000009 
1609393320,311.249999999999,958.7499999999999,-647.5000000000009 
1609393380,248.74999999999898,896.2499999999999,-647.5000000000009 
1609393440,457.49999999999886,1104.9999999999998,-647.5000000000009 
1609393500,352.4999999999991,1000.0,-647.5000000000009 
1609393560,457.49999999999886,1104.9999999999998,-647.5000000000009 
1609393620,411.24999999999886,1058.7499999999998,-647.5000000000009 
1609393680,308.7499999999991,956.25,-647.5000000000009 
1609393740,414.9999999999991,1062.5,-647.5000000000009 
1609393800,432.49999999999886,1079.9999999999998,-647.5000000000009 
1609393860,458.7499999999991,1106.25,-647.5000000000009 
1609393920,358.7499999999991,1006.25,-647.5000000000009 
1609393980,267.499999999999,914.9999999999999,-647.5000000000009 
1609394040,311.249999999999,958.7499999999999,-647.5000000000009 
1609394100,62.499999999999204,710.0000000000001,-647.5000000000009 
1609394160,98.74999999999898,746.2499999999999,-647.5000000000009 
1609394220,-145.00000000000102,502.4999999999999,-647.5000000000009 
1609394280,-136.2500000000012,511.2499999999997,-647.5000000000009 
1609394340,2.4999999999990905,650.0,-647.5000000000009 
1609394400,68.7499999999992,716.2500000000001,-647.5000000000009 
