Key,ExitTime,Symbol,EntryPrice,Quantity,Pnl,Date
2020-08-03 09:27:00,2020-08-03 12:33:00,NIFTY06AUG2010950CE,119.2,-75,2272.5,2020-08-03
2020-08-03 09:20:00,2020-08-03 10:16:00,BANKNIFTY06AUG2021200CE,441.15,-25,-775.0,2020-08-03
2020-08-03 10:40:00,2020-08-03 12:59:00,BANKNIFTY06AUG2021200CE,428.05,-25,3172.500000000001,2020-08-03
2020-08-03 10:25:00,2020-08-03 10:49:00,NIFTY06AUG2011000PE,113.0,-75,-371.2500000000002,2020-08-03
2020-08-03 10:52:00,2020-08-03 12:26:00,NIFTY06AUG2010950PE,88.7,-75,-307.49999999999955,2020-08-03
2020-08-03 10:05:00,2020-08-03 12:26:00,BANKNIFTY06AUG2021400PE,376.8,-25,-1016.2499999999994,2020-08-03
2020-08-04 11:00:00,2020-08-04 11:22:00,NIFTY06AUG2010950CE,115.15,-75,-427.4999999999992,2020-08-04
2020-08-04 09:22:00,2020-08-04 09:51:00,BANKNIFTY06AUG2021100CE,367.95,-25,-1006.25,2020-08-04
2020-08-04 09:46:00,2020-08-04 10:32:00,NIFTY06AUG2011000PE,109.65,-75,2610.000000000001,2020-08-04
2020-08-04 09:47:00,2020-08-04 11:23:00,BANKNIFTY06AUG2021300PE,339.3,-25,3155.0000000000005,2020-08-04
2020-08-05 11:31:00,2020-08-05 11:41:00,NIFTY06AUG2011100CE,114.05,-75,2669.9999999999995,2020-08-05
2020-08-05 10:03:00,2020-08-05 10:17:00,BANKNIFTY06AUG2021900CE,220.3,-25,-656.2500000000007,2020-08-05
2020-08-05 10:34:00,2020-08-05 10:51:00,BANKNIFTY06AUG2021800CE,264.35,-25,-676.2500000000002,2020-08-05
2020-08-05 11:20:00,2020-08-05 11:57:00,BANKNIFTY06AUG2021800CE,272.2,-25,3429.9999999999995,2020-08-05
2020-08-05 09:27:00,2020-08-05 11:31:00,NIFTY06AUG2011200PE,68.55,-75,-738.7500000000007,2020-08-05
2020-08-05 09:24:00,2020-08-05 11:57:00,BANKNIFTY06AUG2021800PE,252.0,-25,-902.5000000000006,2020-08-05
2020-08-06 10:46:00,2020-08-06 11:31:00,NIFTY06AUG2011100CE,81.9,-75,-1053.7499999999998,2020-08-06
2020-08-06 11:45:00,2020-08-06 11:57:00,NIFTY06AUG2011100CE,87.9,-75,-341.2499999999998,2020-08-06
2020-08-06 10:03:00,2020-08-06 10:19:00,BANKNIFTY06AUG2021600CE,160.35,-25,-611.2500000000005,2020-08-06
2020-08-06 10:44:00,2020-08-06 11:58:00,BANKNIFTY06AUG2021500CE,233.95,-25,-776.2500000000002,2020-08-06
2020-08-06 13:30:00,2020-08-06 13:43:00,BANKNIFTY06AUG2021700CE,178.14999999999998,-25,1648.749999999999,2020-08-06
2020-08-06 09:35:00,2020-08-06 12:26:00,NIFTY06AUG2011200PE,71.4,-75,3517.5000000000005,2020-08-06
2020-08-06 09:22:00,2020-08-06 09:29:00,BANKNIFTY06AUG2021600PE,180.95,-25,-778.7500000000001,2020-08-06
2020-08-06 09:37:00,2020-08-06 10:03:00,BANKNIFTY06AUG2021700PE,217.95,-25,-1093.75,2020-08-06
2020-08-06 10:19:00,2020-08-06 10:45:00,BANKNIFTY06AUG2021600PE,172.14999999999998,-25,-447.50000000000085,2020-08-06
2020-08-06 11:58:00,2020-08-06 12:02:00,BANKNIFTY06AUG2021700PE,222.85,-25,-2635.0,2020-08-06
2020-08-07 09:31:00,2020-08-07 09:35:00,NIFTY13AUG2011100CE,139.95,-75,-971.2500000000013,2020-08-07
2020-08-07 09:57:00,2020-08-07 10:00:00,NIFTY13AUG2011150CE,127.75,-75,-768.75,2020-08-07
2020-08-07 10:41:00,2020-08-07 11:16:00,NIFTY13AUG2011200CE,95.75,-75,-719.9999999999995,2020-08-07
2020-08-07 09:19:00,2020-08-07 09:25:00,BANKNIFTY13AUG2021500CE,363.95,-25,-547.5000000000009,2020-08-07
2020-08-07 10:15:00,2020-08-07 11:50:00,BANKNIFTY13AUG2021600CE,383.35,-25,-526.2500000000002,2020-08-07
2020-08-07 11:56:00,2020-08-07 11:58:00,BANKNIFTY13AUG2021600CE,375.6,-25,-426.2500000000003,2020-08-07
2020-08-07 09:33:00,2020-08-07 11:59:00,NIFTY13AUG2011150PE,108.25,-75,2306.25,2020-08-07
2020-08-07 09:25:00,2020-08-07 09:31:00,BANKNIFTY13AUG2021500PE,381.25,-25,-738.7500000000002,2020-08-07
2020-08-07 09:39:00,2020-08-07 11:50:00,BANKNIFTY13AUG2021600PE,417.1,-25,2152.499999999999,2020-08-07
2020-08-10 10:00:00,2020-08-10 10:04:00,NIFTY13AUG2011250CE,115.9,-75,-337.5,2020-08-10
2020-08-10 10:07:00,2020-08-10 11:09:00,NIFTY13AUG2011250CE,113.45,-75,-600.0,2020-08-10
2020-08-10 11:44:00,2020-08-10 15:14:00,NIFTY13AUG2011300CE,94.7,-75,1709.9999999999998,2020-08-10
2020-08-10 09:55:00,2020-08-10 15:14:00,BANKNIFTY13AUG2022000CE,327.05,-25,1491.250000000001,2020-08-10
2020-08-10 09:20:00,2020-08-10 14:11:00,NIFTY13AUG2011350PE,121.95,-75,-704.9999999999993,2020-08-10
2020-08-10 14:47:00,2020-08-10 14:49:00,NIFTY13AUG2011300PE,85.2,-75,-525.0,2020-08-10
2020-08-10 09:20:00,2020-08-10 14:12:00,BANKNIFTY13AUG2022000PE,347.25,-25,-700.0,2020-08-10
